trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,2,-69.1631408876968,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,8,-25.631550379674966,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-63.5225384801857,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-73.19088132663342,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-95.95925924374673,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-59.64859824734641,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-99.93927143532963,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-111.01954106536058,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,9,-31.18088422896284,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,8,-18.583482685132743,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,6,-35.040772132659676,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-96.33378487488501,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,15,-4.849051285703572,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-48.77843028571496,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,2,-82.93031183150745,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-30.952073386081768,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-188.30248791315844,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,11,-25.469998209729724,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,15,9.566651997379124,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,-50.67033257008992,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,1,-54.3709849857783,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,16,5.342968368981225,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-20.74078778496651,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,11,-48.589377526429026,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,0,-86.15987795870015,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,0,-31.67950090894901,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,18,1.9621594685549772,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
